UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-30.82114829772468,-25.80345136718745,2,14050.0,12.47082536439598
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-24.23202473812012,-18.62852499999997,6,12824.0,12.47082536439598
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-32.39634360879592,-26.4863806152344,5,18468.0,12.47082536439598
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-25.64625436938383,-21.8979434570312,1,14615.0,12.47082536439598
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-32.54553131203227,-21.63599526367182,3,15979.0,12.47082536439598
60754.6211666551,9.1,-999.0,-999.0,-999.0,-999.0,12.734550919839,13.22265630980021,-37.93199259730176,-34.93092487792973,4,11754.0,12.47082536439598
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-26.14267427079591,-25.47802028808587,2,14787.0,-14.81877995730393
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-23.87214212066408,-18.737734375,6,13164.0,-14.81877995730393
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-33.11610884370805,-26.5957551513672,5,19106.0,-14.81877995730393
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-25.64625436938383,-21.68138740234372,1,15218.0,-14.81877995730393
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-32.9054139294883,-21.20719506835934,3,17393.0,-14.81877995730393
60754.12915039352,7.2,8.431,8.896,778.803,6.386,15.33738766887128,16.0894539631627,-37.93199259730176,-34.93092487792973,4,12044.0,-14.81877995730393
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-1158.693271405,-26.67126757812497,2,16163.0,21.34107739468864
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-23.51225950320799,-19.06536249999999,6,13670.0,21.34107739468864
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-32.75622622625201,-26.4863806152344,5,19782.0,21.34107739468864
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-25.64625436938383,-21.24827529296869,1,16032.0,21.34107739468864
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-32.54553131203227,-20.45679472656246,3,19242.0,21.34107739468864
60754.00778993055,12.8,8.431,9.586,838.885,11.1,18.09207804376569,18.84213913226478,-37.93199259730176,-34.93092487792973,4,12338.0,21.34107739468864
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-29.02173521044438,-25.91192839355466,2,13929.0,-37.41099212932511
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-23.51225950320799,-18.84694374999998,6,12754.0,-37.41099212932511
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-32.39634360879592,-26.5957551513672,5,18377.0,-37.41099212932511
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-26.00613698683981,-21.8979434570312,1,14589.0,-37.41099212932511
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-32.9054139294883,-21.63599526367182,3,16001.0,-37.41099212932511
60754.45005753472,7.6,4.191,3.671,305.971,2.753,12.28552999163986,13.00681491842072,-37.93199259730176,-35.04198325195313,4,11686.0,-37.41099212932511
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-1158.693271405,-26.77974460449212,2,15692.0,18.42965373450501
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-23.87214212066408,-19.06536249999999,6,13601.0,18.42965373450501
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-33.83587407862012,-26.70512968749995,5,19707.0,18.42965373450501
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-25.28637175192773,-21.24827529296869,1,16143.0,18.42965373450501
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-32.54553131203227,-20.45679472656246,3,19283.0,18.42965373450501
60754.01777340277,12.5,8.628,9.685,373.971,11.002,18.08924420515069,18.80534197293374,-37.93199259730176,-34.93092487792973,4,12286.0,18.42965373450501
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-28.66185259298828,-26.02040541992181,2,14035.0,-45.40052857260475
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-23.87214212066408,-19.72061874999997,6,12803.0,-45.40052857260475
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-32.03646099133988,-26.26763154296873,5,18498.0,-45.40052857260475
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-25.64625436938383,-22.00622148437492,1,14512.0,-45.40052857260475
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-32.9054139294883,-21.63599526367182,3,15980.0,-45.40052857260475
60754.41726341435,8.1,4.388,3.967,296.073,2.851,12.34346789368796,13.07588285987846,-37.57210997984572,-34.93092487792973,4,11692.0,-45.40052857260475
60753.90787045139,12.1,6.558,8.009,197.488,10.609,17.63032035663328,18.47135507167134,-1158.693271405,-26.88822163085933,2,15986.0,47.31775364853152
